metric                    ,sim                   ,emp                   ,abs_diff              ,notes                     ,raw_n_nodes_G1 ,raw_n_edges_G1 ,raw_n_nodes_G2 ,raw_n_edges_G2 ,lcc_nodes_G1 ,lcc_nodes_G2 ,intersect_nodes;
n_nodes                   ,140                   ,318                   ,178.0                 ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
n_edges                   ,82                    ,304                   ,222.0                 ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
density                   ,0.004213771839671121  ,0.0030156935103069263 ,0.0011980783293641943 ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
n_weak_components         ,59                    ,25                    ,34.0                  ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
n_strong_components       ,140                   ,318                   ,178.0                 ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
largest_wcc_nodes         ,17                    ,191                   ,174.0                 ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
largest_wcc_edges         ,16                    ,200                   ,184.0                 ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
avg_shortest_path_lcc     ,3.926470588235294     ,3.169964177459355     ,0.7565064107759389    ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
diameter_lcc              ,9                     ,7                     ,2.0                   ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
reciprocity               ,0.0                   ,0.0                   ,0.0                   ,directed only             ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
avg_clustering_ud         ,0.015873015873015872  ,0.0                   ,0.015873015873015872  ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
degree_assortativity_ud   ,-0.010410027618440829 ,-0.39087673470507844  ,0.3804667070866376    ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
modularity_ud             ,0.9086853063652588    ,0.643407795188067     ,0.2652775111771918    ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
n_communities_ud          ,26                    ,30                    ,4.0                   ,                          ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
ks_in_degree              ,0.3207;p=2.268e-09    ,NA                    ,NA                    ,KS                        ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0
ks_out_degree             ,0.1850;p=0.002157     ,NA                    ,NA                    ,KS                        ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0
ks_in_strength            ,0.3207;p=2.268e-09    ,NA                    ,NA                    ,KS                        ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0
ks_out_strength           ,0.1850;p=0.002157     ,NA                    ,NA                    ,KS                        ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0
kendall_tau_in_strength   ,NA                    ,NA                    ,NA                    ,insufficient overlap      ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
overlap_at_k_in_strength  ,NA                    ,NA                    ,NA                    ,insufficient overlap      ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
kendall_tau_out_strength  ,NA                    ,NA                    ,NA                    ,insufficient overlap      ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
overlap_at_k_out_strength ,NA                    ,NA                    ,NA                    ,insufficient overlap      ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
kendall_tau_betweenness   ,NA                    ,NA                    ,NA                    ,insufficient overlap      ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
overlap_at_k_betweenness  ,NA                    ,NA                    ,NA                    ,insufficient overlap      ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
kendall_tau_pagerank      ,NA                    ,NA                    ,NA                    ,insufficient overlap      ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
overlap_at_k_pagerank     ,NA                    ,NA                    ,NA                    ,insufficient overlap      ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
intersect_nodes           ,0                     ,0                     ,0                     ,intersection of node sets ,           140 ,            82 ,           318 ,           304 ,          17 ,         191 ,              0;
